sentence_id,sentence,aspect,polarity,from,to
2014_0029,THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.,LASAGNA,positive,4,11
2014_0030,Harumi Sushi has the freshest and most delicious array of sushi in NYC.,array of sushi,positive,49,63
2014_0031,"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",cuisine,positive,46,53
2014_0031,"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",owners,positive,81,87
2014_0031,"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",staff,positive,92,97
2014_0032,"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",indian food,positive,31,42
2014_0032,"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",ambiance,positive,61,69
2014_0033,I definitely enjoyed the food as well.,food,positive,25,29
2014_0035,"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",service,positive,33,40
2014_0035,"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",garden,positive,61,67
2014_0035,"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",food,positive,82,86
2014_0035,"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",appetizers,positive,93,103
2014_0035,"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",entrees,positive,107,114
2014_0037,"The food is surprisingly good, and the decor is nice.",food,positive,4,8
2014_0037,"The food is surprisingly good, and the decor is nice.",decor,positive,39,44
2014_0038,How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!,lunch,negative,79,84
2014_0038,How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!,dinners,negative,89,96
2014_0039,Two wasted steaks -- what a crime!,steaks,negative,11,17
2014_0040,The staff should be a bit more friendly.,staff,negative,4,9
2014_0042,I think the meatball parm is good.,meatball parm,positive,12,25
2014_0043,"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong.",latin food,positive,40,50
2014_0044,Definitely try the taglierini with truffles - it was incredible.,taglierini with truffles,positive,19,43
2014_0045,"Also, the staff is very attentive and really personable.",staff,positive,10,15
2014_0047,The gnocchi literally melts in your mouth!,gnocchi,positive,4,11
2014_0048,Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,staff,positive,35,40
2014_0048,Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,food,positive,55,59
2014_0048,Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,portion size,positive,83,95
2014_0048,Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,portobello/gorgonzola/sausage appetizer,positive,127,166
2014_0048,Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,lobster risotto,positive,175,190
2014_0049,"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",Entrees,neutral,0,7
2014_0049,"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",lasagna,neutral,30,37
2014_0049,"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",fettuccine Alfredo,neutral,39,57
2014_0049,"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",chicken parmigiana,neutral,62,80
2014_0050,"The food is good, the teriyaki I recommend.",food,positive,4,8
2014_0050,"The food is good, the teriyaki I recommend.",teriyaki,positive,22,30
2014_0051,Meal was very expensive for what you get.,Meal,negative,0,4
2014_0052,Try the Peanut Butter Sorbet and the pizza with soy cheese!,Peanut Butter Sorbet,positive,8,28
2014_0052,Try the Peanut Butter Sorbet and the pizza with soy cheese!,pizza with soy cheese,positive,37,58
2014_0053,"Good food at the right price, what more can you ask for.",food,positive,5,9
2014_0053,"Good food at the right price, what more can you ask for.",price,positive,23,28
2014_0056,"The food is top notch, the service is attentive, and the atmosphere is great.",food,positive,4,8
2014_0056,"The food is top notch, the service is attentive, and the atmosphere is great.",service,positive,27,34
2014_0056,"The food is top notch, the service is attentive, and the atmosphere is great.",atmosphere,positive,57,67
2014_0058,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",food,positive,6,10
2014_0058,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",waitstaff,positive,18,27
2014_0058,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",atmosphere,positive,35,45
2014_0058,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",beer,positive,69,73
2014_0059,this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,food,positive,66,70
2014_0059,this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,kimono shrimp special,positive,101,122
2014_0059,this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,atmosphere,positive,154,164
2014_0063,The menu is interesting and quite reasonably priced.,menu,positive,4,8
2014_0063,The menu is interesting and quite reasonably priced.,priced,positive,45,51
2014_0064,The food was delicious and clearly fresh ingredients were used.,food,positive,4,8
2014_0064,The food was delicious and clearly fresh ingredients were used.,ingredients,positive,41,52
2014_0065,This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.,food,negative,30,34
2014_0066,Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,Appetizer,positive,0,9
2014_0066,Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,meal,positive,69,73
2014_0067,The spicy mussels are a highlight.,spicy mussels,positive,4,17
2014_0068,Also get the Onion Rings -- best we've ever had.,Onion Rings,positive,13,24
2014_0070,"However, being foodies, we were utterly disappointed with the food.",food,negative,62,66
2014_0071,"Huge portions, great and attentive service, and pretty good prices.",portions,positive,5,13
2014_0071,"Huge portions, great and attentive service, and pretty good prices.",service,positive,35,42
2014_0071,"Huge portions, great and attentive service, and pretty good prices.",prices,positive,60,66
2014_0072,I was highly disappointed by their service and food.,service,negative,35,42
2014_0072,I was highly disappointed by their service and food.,food,negative,47,51
2014_0073,"I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up.",waiter,negative,20,26
2014_0073,"I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up.",manager,negative,43,50
2014_0074,The food is great and the milkshakes are even better!,food,positive,4,8
2014_0074,The food is great and the milkshakes are even better!,milkshakes,positive,26,36
2014_0077,the mushroom barley soup is amazing.,mushroom barley soup,positive,4,24
2014_0079,"I'm glad I did as the food was very good and the staff was friendly, courteous and efficient.",food,positive,22,26
2014_0079,"I'm glad I did as the food was very good and the staff was friendly, courteous and efficient.",staff,positive,49,54
2014_0080,Their duck here is also absolutely delicious.,duck,positive,6,10
2014_0082,"While it was large and a bit noisy, the drinks were fantastic, and the food was superb.",drinks,positive,40,46
2014_0082,"While it was large and a bit noisy, the drinks were fantastic, and the food was superb.",food,positive,71,75
2014_0083,One caveat: Some of the curried casseroles can be a trifle harsh.,curried casseroles,negative,24,42
2014_0085,The food was almost always EXCELLENT.,food,positive,4,8
2014_0086,I was pleasently surprised at the taste.,taste,positive,34,39
2014_0087,"A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.",seafood,positive,131,138
2014_0087,"A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.",space,conflict,7,12
2014_0087,"A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.",cuisine,positive,94,101
2014_0088,I never had an orange donut before so I gave it a shot.,orange donut,neutral,15,27
2014_0089,"they really provide a relaxing, laid-back atmosphere.",atmosphere,positive,42,52
2014_0090,This particular location certainly uses substandard meats.,meats,negative,52,57
2014_0092,The Management was less than accomodating.,Management,negative,4,14
2014_0093,The ambience is also more laid-back and relaxed.,ambience,positive,4,12
2014_0094,the teas are great and all the sweets are homemade.,teas,positive,4,8
2014_0094,the teas are great and all the sweets are homemade.,sweets,positive,31,37
2014_0095,mojitos and the service are the best part in there,mojitos,positive,0,7
2014_0095,mojitos and the service are the best part in there,service,positive,16,23
2014_0096,"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",Sandwiches,positive,0,10
2014_0096,"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",burgers,positive,12,19
2014_0096,"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",salads,positive,24,30
2014_0096,"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",lemon-dressed cobb,positive,41,59
2014_0098,The design is very intimate and romantic.,design,positive,4,10
2014_0099,The food was wonderful and imaginative.,food,positive,4,8
2014_0100,The staff is very sharp and they look good too.,staff,positive,4,9
2014_0101,The worst though was the taste.,taste,negative,25,30
2014_0103,The fajita we tried was tasteless and burned and the mole sauce was way too sweet.,fajita,negative,4,10
2014_0103,The fajita we tried was tasteless and burned and the mole sauce was way too sweet.,mole sauce,negative,53,63
2014_0104,Stay with the roasted chickens and you'll be fine.,roasted chickens,positive,14,30
2014_0105,"The atmosphere is warm, comfortable, artsy and sexy.",atmosphere,positive,4,14
2014_0106,"The food is great (big selection, reasonable prices) and the drinks are really good.",food,positive,4,8
2014_0106,"The food is great (big selection, reasonable prices) and the drinks are really good.",selection,positive,23,32
2014_0106,"The food is great (big selection, reasonable prices) and the drinks are really good.",prices,positive,45,51
2014_0106,"The food is great (big selection, reasonable prices) and the drinks are really good.",drinks,positive,61,67
2014_0107,The steak melted in my mouth.,steak,positive,4,9
2014_0108,"The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it.",waiters,positive,60,67
2014_0108,"The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it.",food,neutral,4,8
2014_0109,"Most importantly, it is reasonably priced.",priced,positive,35,41
2014_0110,"The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great.",selection of food,positive,4,21
2014_0110,"The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great.",atmosphere,positive,96,106
2014_0111,"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.",dessert,negative,37,44
2014_0111,"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.",taste,negative,82,87
2014_0112,"Food was decent, but not great.",Food,positive,0,4
2014_0115,i dont know what some people who rave about this hot dog are talking about.,hot dog,negative,49,56
2014_0116,it is a hidden delight complete with a quaint bar and good food.,bar,positive,46,49
2014_0116,it is a hidden delight complete with a quaint bar and good food.,food,positive,59,63
2014_0118,The waiters ALWAYS look angry and even ignore their high-tipping regulars.,waiters,negative,4,11
2014_0119,"the atmosphere is very nice, and a welcome escape from the rest of the SI mall.",atmosphere,positive,4,14
2014_0120,"Yes, they're a bit more expensive then typical, but then again, so is their food.",food,positive,76,80
2014_0122,"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",wraps,positive,19,24
2014_0122,"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",burgers,positive,26,33
2014_0122,"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",salads,positive,38,44
2014_0122,"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",mango margareta,positive,75,90
2014_0124,"Anywhere else, the prices would be 3x as high!",prices,positive,19,25
2014_0125,The service we experienced was friendly and good.,service,positive,4,11
2014_0126,Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.,waiter,positive,4,10
2014_0126,Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.,staff,negative,74,79
2014_0127,The folding chair I was seated at was uncomfortable.,folding chair,negative,4,17
2014_0130,Service was among the best I have ever had in NYC.,Service,positive,0,7
2014_0131,The fettucino alfredo was amazing.,fettucino alfredo,positive,4,21
2014_0132,The food was very good and I was pleasantly surprised to see so many vegan options.,food,positive,4,8
2014_0132,The food was very good and I was pleasantly surprised to see so many vegan options.,vegan options,positive,69,82
2014_0133,I know real Indian food and this wasn't it.,Indian food,negative,12,23
2014_0134,"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",Smoked Trout,positive,19,31
2014_0134,"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",Lamb Chops,positive,34,44
2014_0134,"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",Veal Chops,positive,46,56
2014_0134,"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",Rabbit,positive,58,64
2014_0134,"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",potato gratin,positive,70,83
2014_0135,"Even when the chef is not in the house, the food and service are right on target.",chef,neutral,14,18
2014_0135,"Even when the chef is not in the house, the food and service are right on target.",food,positive,44,48
2014_0135,"Even when the chef is not in the house, the food and service are right on target.",service,positive,53,60
2014_0136,Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,eggs benedict,positive,20,33
2014_0136,Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,mussels,positive,41,48
2014_0136,Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,hamburger,positive,62,71
2014_0137,"The waiters were very professional, courteous and attentive.",waiters,positive,4,11
2014_0139,The falafal was rather over cooked and dried but the chicken was fine.,falafal,negative,4,11
2014_0139,The falafal was rather over cooked and dried but the chicken was fine.,chicken,positive,53,60
2014_0140,"I highly reccomend the grand marnier shrimp, it's insanely good.",grand marnier shrimp,positive,23,43
2014_0141,"We been there and we really enjoy the food, was areally great food, and the service was really good.",food,positive,38,42
2014_0141,"We been there and we really enjoy the food, was areally great food, and the service was really good.",food,positive,62,66
2014_0141,"We been there and we really enjoy the food, was areally great food, and the service was really good.",service,positive,76,83
2014_0142,Desserts include flan and sopaipillas.,Desserts,neutral,0,8
2014_0142,Desserts include flan and sopaipillas.,flan,neutral,17,21
2014_0142,Desserts include flan and sopaipillas.,sopaipillas,neutral,26,37
2014_0143,I was starving and the small portions were driving me crazy!,portions,negative,29,37
2014_0144,The wait staff was loud and inconsiderate.,wait staff,negative,4,14
2014_0145,"However, the food and service and dramatically lacking.",food,negative,13,17
2014_0145,"However, the food and service and dramatically lacking.",service,negative,22,29
2014_0146,The sushi is cut in blocks bigger than my cell phone.,sushi,negative,4,9
2014_0147,"The service is great, my soup always arrives nice and hot.",service,positive,4,11
2014_0147,"The service is great, my soup always arrives nice and hot.",soup,positive,25,29
2014_0148,It had been awhile and I forgot just how delicious crepes can be.,crepes,positive,51,57
2014_0149,Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,desserts,positive,15,23
2014_0149,Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,creme brulee,positive,47,59
2014_0149,Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,apple tart,positive,75,85
2014_0151,i had a delicious shrimp creole.,shrimp creole,positive,18,31
2014_0152,The chicken dinner was real good.,chicken dinner,positive,4,18
2014_0153,Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.,chili signed food items,negative,14,37
2014_0154,The decor is designed in a contemporary Japanese style restaurant.,decor,neutral,4,9
2014_0155,but the food was delicious.,food,positive,8,12
2014_0156,"Try the ribs, sizzling beef and couple it with coconut rice.",coconut rice,positive,47,59
2014_0156,"Try the ribs, sizzling beef and couple it with coconut rice.",ribs,positive,8,12
2014_0156,"Try the ribs, sizzling beef and couple it with coconut rice.",beef,positive,23,27
2014_0159,The avocado salad is a personal fave.,avocado salad,positive,4,17
2014_0160,"And, the honey BBQ rib tips are yummy!",honey BBQ rib tips,positive,9,27
2014_0161,The BEST Chinese food Uptown!,Chinese food,positive,9,21
2014_0162,Service is known for bending over backwards to make everyone happy.,Service,positive,0,7
2014_0163,"The atmosphere is attractive, but a little uncomfortable.",atmosphere,conflict,4,14
2014_0164,The staff is very friendly.,staff,positive,4,9
2014_0165,Waiters are very friendly and the pasta is out of this world.,Waiters,positive,0,7
2014_0165,Waiters are very friendly and the pasta is out of this world.,pasta,positive,34,39
2014_0166,Great wine list and great cocktail menu.,wine list,positive,6,15
2014_0166,Great wine list and great cocktail menu.,cocktail menu,positive,26,39
2014_0167,The crab cakes are delicious and the BBQ rib was perfect.,crab cakes,positive,4,14
2014_0167,The crab cakes are delicious and the BBQ rib was perfect.,BBQ rib,positive,37,44
2014_0168,"The food is wonderful, artfully done and simply delicious.",food,positive,4,8
2014_0169,Tiny restaurant with very fast service.,service,positive,31,38
2014_0170,"The sauce may not be for everyone, since it is distintive.",sauce,conflict,4,9
2014_0171,My husband and I have been there at least 6 times and we've always been given the highest service and often free desserts.,service,positive,90,97
2014_0171,My husband and I have been there at least 6 times and we've always been given the highest service and often free desserts.,desserts,positive,113,121
2014_0172,"A beautiful atmosphere, perfect for drinks and/or appetizers.",atmosphere,positive,12,22
2014_0172,"A beautiful atmosphere, perfect for drinks and/or appetizers.",drinks,neutral,36,42
2014_0172,"A beautiful atmosphere, perfect for drinks and/or appetizers.",appetizers,neutral,50,60
2014_0174,They make the best pizza in New Jersey.,pizza,positive,19,24
2014_0176,"What a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.",service,positive,23,30
2014_0176,"What a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.",food,positive,59,63
2014_0176,"What a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.",beer list,positive,150,159
2014_0177,"Frankly, the chinese food here is something I can make better at home.",chinese food,negative,13,25
2014_0178,There was only one waiter for the whole restaurant upstairs.,waiter,neutral,19,25
2014_0179,We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.,scallops,neutral,20,28
2014_0179,We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.,asparagus,neutral,33,42
2014_0179,We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.,soft shell crab,neutral,60,75
2014_0179,We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.,cheese plate,neutral,91,103
2014_0180,"Not to be overlooked, the service is excellent.",service,positive,26,33
2014_0181,this without question is one of the worst hotdogs i have ever had.,hotdogs,negative,42,49
2014_0182,"The staff is unbelievably friendly, and I dream about their Saag gosht...so good.",staff,positive,4,9
2014_0182,"The staff is unbelievably friendly, and I dream about their Saag gosht...so good.",Saag gosht,positive,60,70
2014_0183,I also recommend the garlic knots.,garlic knots,positive,21,33
2014_0184,Best Indian food I have ever eaten.,Indian food,positive,5,16
2014_0186,This place has the best pizza.,pizza,positive,24,29
2014_0188,The music which is sometimes a little too heavy for my taste.,music,negative,4,9
2014_0189,The service is excellent and always informative without an air.,service,positive,4,11
2014_0190,The owner and staff go to great lengths to make you feel comfortable.,owner,positive,4,9
2014_0190,The owner and staff go to great lengths to make you feel comfortable.,staff,positive,14,19
2014_0192,The sushi is always fresh and yummy and the menu is pretty varied.,sushi,positive,4,9
2014_0192,The sushi is always fresh and yummy and the menu is pretty varied.,menu,positive,44,48
2014_0193,"The food was great - sushi was good, but the cooked food amazed us.",food,positive,4,8
2014_0193,"The food was great - sushi was good, but the cooked food amazed us.",sushi,positive,21,26
2014_0193,"The food was great - sushi was good, but the cooked food amazed us.",cooked food,positive,45,56
2014_0194,their dinner specials are fantastic.,dinner specials,positive,6,21
2014_0196,"Great food, great drinks, nice dining atmosphere.",food,positive,6,10
2014_0196,"Great food, great drinks, nice dining atmosphere.",drinks,positive,18,24
2014_0196,"Great food, great drinks, nice dining atmosphere.",dining atmosphere,positive,31,48
2014_0197,"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants.",price,negative,8,13
2014_0197,"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants.",food,negative,30,34
2014_0198,Food portion was SMALL and below average.,Food portion,negative,0,12
2014_0201,Sit back in one of those comfortable chairs.,chairs,positive,37,43
2014_0204,My favs here are the Tacos Pastor and the Tostada de Tinga...,Tacos Pastor,positive,21,33
2014_0204,My favs here are the Tacos Pastor and the Tostada de Tinga...,Tostada de Tinga,positive,42,58
2014_0207,"The bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.",bartenders,positive,4,14
2014_0207,"The bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.",managers,positive,23,31
2014_0207,"The bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.",decor,positive,56,61
2014_0208,"For a savory take on the soup and sandwich meal, try the hot and sour soup.",hot and sour soup,positive,57,74
2014_0208,"For a savory take on the soup and sandwich meal, try the hot and sour soup.",soup and sandwich meal,positive,25,47
2014_0209,"This bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",drinks,positive,28,34
2014_0209,"This bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",atmosphere,positive,41,51
2014_0209,"This bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",service,positive,63,70
2014_0209,"This bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",food,positive,85,89
2014_0210,"Also, the chick peas with shrimp (appetizer) is divine.",chick peas with shrimp (appetizer),positive,10,44
2014_0211,"Finally, I got sick of the bad service, obnoxious smirks, and snotty back talk.",service,negative,31,38
2014_0214,We ordered lamb which was perfectly cooked and tasted awesome.,lamb,positive,11,15
2014_0215,i especially like their soft shell crab sandwich with fries.,soft shell crab sandwich with fries,positive,24,59
2014_0216,"if you're looking for authentic hong kong-style food, look no further.",hong kong-style food,positive,32,52
2014_0218,good food good wine that's it.,food,positive,5,9
2014_0218,good food good wine that's it.,wine,positive,15,19
2014_0220,The staff was extremely friendly and pleasant.,staff,positive,4,9
2014_0224,"While their kitchen food is delicious, their Sushi is out of this world.",kitchen food,positive,12,24
2014_0224,"While their kitchen food is delicious, their Sushi is out of this world.",Sushi,positive,45,50
2014_0226,"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",service,positive,46,53
2014_0226,"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",waitresses,positive,62,72
2014_0226,"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",atmosphere,positive,96,106
2014_0227,"It's traditional, simple italian food.",italian food,positive,25,37
2014_0229,"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",food,positive,4,8
2014_0229,"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",rolls,positive,38,43
2014_0229,"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",sushi/sashimi,neutral,70,83
2014_0230,(The sashimi is cut a little thinly.,sashimi,negative,5,12
2014_0232,Could have had better for 1/3 the price in Chinatown.,price,negative,34,39
2014_0235,"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",hot dogs,positive,21,29
2014_0235,"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",breakfast sandwiches,positive,50,70
2014_0235,"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",tator tots,positive,118,128
2014_0235,"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",English muffins,positive,133,148
2014_0235,"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",Taylor ham,positive,220,230
