sentence_id,sentence,aspect,from,to,polarity
2016_0041,Ambiance- relaxed and stylish.,Ambiance,0,8,positive
2016_0042,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",place,17,22,positive
2016_0045,the food is decent.,food,4,8,neutral
2016_0046,"however, it's the service that leaves a bad taste in my mouth.",service,18,25,negative
2016_0047,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,106,112,negative
2016_0048,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",[ASPECT],0,0,negative
2016_0049,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience.",[ASPECT],0,0,negative
2016_0050,the last time i walked by it looked pretty empty. hmmm.,[ASPECT],0,0,negative
2016_0051,This place has got to be the best japanese restaurant in the new york area.,place,5,10,positive
2016_0052,I had a great experience.,[ASPECT],0,0,positive
2016_0053,Food is great.,Food,0,4,positive
2016_0054,Service is top notch.,Service,0,7,positive
2016_0055,I have been going back again and again.,[ASPECT],0,0,positive
2016_0056,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,42,52,positive
2016_0057,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",[ASPECT],0,0,positive
2016_0058,The sushi seemed pretty fresh and was adequately proportioned.,sushi,4,9,positive
2016_0058,The sushi seemed pretty fresh and was adequately proportioned.,sushi,4,9,positive
2016_0059,The rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration,4,23,positive
2016_0060,We took advanatage of the half price sushi deal on saturday so it was well worth it.,half price sushi deal,26,47,positive
2016_0060,We took advanatage of the half price sushi deal on saturday so it was well worth it.,half price sushi deal,26,47,positive
2016_0063,Surprisingly nothing could be further from the truth.,[ASPECT],0,0,positive
2016_0064,"In the evening, this place attracted a well dressed, with it, NY crowd.",crowd,65,70,positive
2016_0065,The food was well prepared and the service impecable.,food,4,8,positive
2016_0065,The food was well prepared and the service impecable.,service,35,42,positive
2016_0066,I'm going back.,[ASPECT],0,0,positive
2016_0068,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,[ASPECT],0,0,positive
2016_0070,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,4,18,positive
2016_0070,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,4,18,positive
2016_0070,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,4,18,positive
2016_0071,I will be going back and heartily recommend it!,[ASPECT],0,0,positive
2016_0073,"It is terrific, as is the value.",[ASPECT],0,0,positive
2016_0073,"It is terrific, as is the value.",[ASPECT],0,0,positive
2016_0074,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,27,31,positive
2016_0074,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,27,31,positive
2016_0074,"$6 and there is much tasty food, all of it fresh and continually refilled.",food,27,31,positive
2016_0075,"I am not a vegetarian but, almost all the dishes were great.",dishes,42,48,positive
2016_0077,Go hungry and enjoy.,[ASPECT],0,0,positive
2016_0078,"The food here is rather good, but only if you like to wait for it.",food,4,8,positive
2016_0078,"The food here is rather good, but only if you like to wait for it.",[ASPECT],0,0,negative
2016_0079,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",somosas,11,18,positive
2016_0079,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chai,20,24,positive
2016_0079,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",chole,34,39,positive
2016_0079,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhosas,49,55,negative
2016_0079,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",dhal,60,64,negative
2016_0080,"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,4,11,negative
2016_0081,"The kitchen however, is almost always slow.",kitchen,4,11,negative
2016_0082,"Also, specify if you like your food spicy- its rather bland if you don't.",food,31,35,negative
2016_0083,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",ambience,4,12,positive
2016_0083,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",[ASPECT],0,0,positive
2016_0085,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,view,80,84,positive
2016_0086,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,18,25,positive
2016_0086,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,36,40,positive
2016_0086,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,36,40,positive
2016_0087,The lava cake dessert was incredible and I recommend it.,lava cake dessert,4,21,positive
2016_0088,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",Cosette,19,26,positive
2016_0089,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",restaurant,10,20,positive
2016_0090,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",food,4,8,positive
2016_0090,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,43,60,negative
2016_0090,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",French Onion soup,43,60,positive
2016_0090,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",desserts,104,112,negative
2016_0091,"However, go for the ambience, and consider the food just a companion for a trip across the world!",ambience,20,28,positive
2016_0091,"However, go for the ambience, and consider the food just a companion for a trip across the world!",food,47,51,neutral
2016_0093,IT WAS HORRIBLE.,[ASPECT],0,0,negative
2016_0094,The pizza was delivered cold and the cheese wasn't even fully melted!,pizza,4,9,negative
2016_0094,The pizza was delivered cold and the cheese wasn't even fully melted!,cheese,37,43,negative
2016_0095,It looked like shredded cheese partly done - still in strips.,[ASPECT],0,0,negative
2016_0097,This has got to be one of the most overrated restaurants in Brooklyn.,[ASPECT],0,0,negative
2016_0098,The pizza is overpriced and soggy.,pizza,4,9,negative
2016_0098,The pizza is overpriced and soggy.,pizza,4,9,negative
2016_0099,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,20,31,positive
2016_0099,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,80,85,negative
2016_0099,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,122,127,negative
2016_0100,"A big disappointment, all around.",[ASPECT],0,0,negative
2016_0101,I think I've had some the best meals of my life at minnow.,meals,31,36,positive
2016_0102,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",seafood,4,11,positive
2016_0102,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",wine list,39,48,positive
2016_0102,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",menu,72,76,positive
2016_0103,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,ingredients,31,42,positive
2016_0104,Worth the trip from Manhattan.,[ASPECT],0,0,positive
2016_0106,Best Pastrami I ever had and great portion without being ridiculous.,Pastrami,5,13,positive
2016_0106,Best Pastrami I ever had and great portion without being ridiculous.,portion,35,42,positive
2016_0108,My wife had the fried shrimp which are huge and loved it.,fried shrimp,16,28,positive
2016_0108,My wife had the fried shrimp which are huge and loved it.,fried shrimp,16,28,positive
2016_0110,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",place,105,110,positive
2016_0111,This place is the most Japanese it can ever get.,place,5,10,positive
2016_0112,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",signs,4,9,positive
2016_0112,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",specials menus,15,29,positive
2016_0112,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",food,31,35,positive
2016_0112,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",waitstaff,54,63,positive
2016_0113,This place is worth an one-hour drive.,place,5,10,positive
2016_0114,"I am so coming back here again, as much as I can.",[ASPECT],0,0,positive
2016_0115,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,0,4,positive
2016_0115,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,0,4,positive
2016_0115,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",specials,95,103,positive
2016_0115,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",atmosphere,123,133,positive
2016_0115,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",French bistro fare,70,88,positive
2016_0116,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff,89,94,positive
2016_0118,Decent wine at reasonable prices.,wine,7,11,neutral
2016_0118,Decent wine at reasonable prices.,wine,7,11,positive
2016_0119,Have been dozens of times and never failed to enjoy the experience.,[ASPECT],0,0,positive
2016_0120,"Our teenage kids love it, too.",[ASPECT],0,0,positive
2016_0121,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",Zucchero Pomodori,89,106,positive
2016_0122,This is by far my favorite place in the neighborhood.,place,27,32,positive
2016_0123,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",service,4,11,positive
2016_0123,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",decor,30,35,positive
2016_0123,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",food,54,58,positive
2016_0123,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",portions,91,99,positive
2016_0125,I'm partial to the Gnocchi.,Gnocchi,19,26,positive
2016_0126,This place is incredibly tiny.,place,5,10,negative
2016_0127,They refuse to seat parties of 3 or more on weekends.,[ASPECT],0,0,negative
2016_0128,The hostess is rude to the point of being offensive.,hostess,4,11,negative
2016_0129,The food was bland oily.,food,4,8,negative
2016_0130,I just don't understand all the hype...,[ASPECT],0,0,negative
2016_0132,"We have been to this place many times, and always have great food, wine, and service.",food,61,65,positive
2016_0132,"We have been to this place many times, and always have great food, wine, and service.",wine,67,71,positive
2016_0132,"We have been to this place many times, and always have great food, wine, and service.",service,77,84,positive
2016_0133,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,86,90,positive
2016_0134,As always we had a great glass of wine while we waited.,glass of wine,25,38,positive
2016_0135,"When we sat, we got great and fast service.",service,35,42,positive
2016_0136,The people that work there are always so friendly you forget you are in New York sometimes.,people,4,10,positive
2016_0137,Make sure you try this place as often as you can.,place,23,28,positive
2016_0138,This is a fun restaurant to go to.,restaurant,14,24,positive
2016_0139,The pizza is yummy and I like the atmoshpere.,pizza,4,9,positive
2016_0139,The pizza is yummy and I like the atmoshpere.,atmoshpere,34,44,positive
2016_0140,But the pizza is way to expensive.,pizza,8,13,negative
2016_0141,"A large is $20, and toppings are about $3 each.",[ASPECT],0,0,negative
2016_0141,"A large is $20, and toppings are about $3 each.",toppings,20,28,negative
2016_0142,I went there for lunch and it was not as good as I expected from the reviews I read.,lunch,17,22,negative
2016_0143,Sauce was watery and the food didn't have much flavor.,Sauce,0,5,negative
2016_0143,Sauce was watery and the food didn't have much flavor.,food,25,29,negative
2016_0145,I don't think I would go again.,[ASPECT],0,0,negative
2016_0146,This place is great.,place,5,10,positive
2016_0147,I had a huge group for my birthday and we were well taken care of.,[ASPECT],0,0,positive
2016_0148,The waitress was very patient with us and the food is phenomenal!,waitress,4,12,positive
2016_0148,The waitress was very patient with us and the food is phenomenal!,food,46,50,positive
2016_0149,"Service was prompt, friendly and great.",Service,0,7,positive
2016_0150,Slightly on the pricey side but worth it!,[ASPECT],0,0,negative
2016_0150,Slightly on the pricey side but worth it!,[ASPECT],0,0,positive
2016_0151,Great pizza and fantastic service.,pizza,6,11,positive
2016_0151,Great pizza and fantastic service.,service,26,33,positive
2016_0152,"There was a small wait, but shorter than I expected.",wait,18,22,positive
2016_0153,Located at the end of a magnificent block.,block,36,41,positive
2016_0154,Very cozy and warm inside.....,[ASPECT],0,0,positive
2016_0155,I will be back!,[ASPECT],0,0,positive
2016_0156,This is the best sushi in new york city - hands down.,sushi,17,22,positive
2016_0157,The place is small and cramped but the food is fantastic.,place,4,9,negative
2016_0157,The place is small and cramped but the food is fantastic.,food,39,43,positive
2016_0158,Get the tuna of gari.,tuna of gari,8,20,positive
2016_0160,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",sushi,75,80,positive
2016_0160,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",thai food,103,112,positive
2016_0160,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",Planet Thailand,0,15,positive
2016_0161,"With the great variety on the menu , I eat here often and never get bored .",menu,30,34,positive
2016_0162,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",atmosphere,4,14,neutral
2016_0162,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",[ASPECT],0,0,positive
2016_0163,It's all about the food !!,food,19,23,positive
2016_0165,first it took us a long time to find the place.,place,41,46,negative
2016_0167,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu,26,30,negative
2016_0169,"those rolls were big, but not good and sashimi wasn't fresh.",rolls,6,11,neutral
2016_0169,"those rolls were big, but not good and sashimi wasn't fresh.",rolls,6,11,negative
2016_0169,"those rolls were big, but not good and sashimi wasn't fresh.",sashimi,39,46,negative
2016_0170,"they were dry and disgusting, i didn't even finish my first piece.",[ASPECT],0,0,negative
2016_0171,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,[ASPECT],0,0,positive
2016_0172,"Try the crunchy tuna, it is to die for.",crunchy tuna,8,20,positive
2016_0173,"Try everything for that matter, it is all good.",[ASPECT],0,0,positive
2016_0174,I have been going there since it opened and I can't get enough.,[ASPECT],0,0,positive
2016_0175,First went here to enjoy their garden terrace.,garden terrace,31,45,positive
2016_0176,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",food,4,8,positive
2016_0176,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",service,30,37,positive
2016_0177,"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare,4,17,positive
2016_0178,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",open kitchen,71,83,positive
2016_0178,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",restaurant,34,44,negative
2016_0179,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",wine selection,6,20,positive
2016_0179,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",Gigondas,22,30,positive
2016_0179,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",house champagne,59,74,positive
2016_0180,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",[ASPECT],0,0,neutral
2016_0180,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,44,48,positive
2016_0180,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,76,87,positive
2016_0181,"Have recommended the place to friends, always gets good response.",place,21,26,positive
2016_0182,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",crust,77,82,positive
2016_0182,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",pizza,17,22,positive
2016_0185,I take all my NYC guests to VT's.,VT's,28,32,positive
2016_0186,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",neighborhood,74,86,positive
2016_0186,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",food,101,105,positive
2016_0187,I've been there three times and have always had wonderful experiences.,[ASPECT],0,0,positive
2016_0188,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,setting,75,82,positive
2016_0188,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,service,92,99,positive
2016_0188,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,[ASPECT],0,0,positive
2016_0189,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,Mizu,134,138,positive
2016_0190,Even after they overcharged me the last time I was there.,[ASPECT],0,0,negative
2016_0191,Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll,23,41,positive
2016_0192,it's delicious!,[ASPECT],0,0,positive
2016_0193,"Moules were excellent, lobster ravioli was VERY salty!",Moules,0,6,positive
2016_0193,"Moules were excellent, lobster ravioli was VERY salty!",lobster ravioli,23,38,negative
2016_0194,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",maitre d',38,47,negative
2016_0195,"Told us to sit anywhere, and when we sat he said the table was reserved.",[ASPECT],0,0,negative
2016_0196,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,[ASPECT],0,0,negative
2016_0197,Tiny dessert was $8.00...just plain overpriced for what it is.,dessert,5,12,negative
2016_0197,Tiny dessert was $8.00...just plain overpriced for what it is.,dessert,5,12,negative
2016_0198,The drinks are always welll made and wine selection is fairly priced.,drinks,4,10,positive
2016_0198,The drinks are always welll made and wine selection is fairly priced.,wine selection,37,51,positive
2016_0199,Try their chef's specials-- they are to die for.,chef's specials,10,25,positive
2016_0200,"Service is not exactly five star, but thats not really a big deal.",Service,0,7,neutral
2016_0201,Downstairs lounge is always a good attraction,Downstairs lounge,0,17,positive
2016_0202,"Raga's is a romantic, cozy restaurant.",Raga's,0,6,positive
2016_0203,The exotic food is beautifully presented and is a delight in delicious combinations.,exotic food,4,15,positive
2016_0203,The exotic food is beautifully presented and is a delight in delicious combinations.,exotic food,4,15,positive
2016_0204,It is also extremely well priced.,[ASPECT],0,0,positive
2016_0205,The staff is incredibly helpful and attentive.,staff,4,9,positive
2016_0206,The bar is very well stocked with interesting beers and well priced wines.,bar,4,7,positive
2016_0206,The bar is very well stocked with interesting beers and well priced wines.,beers,46,51,positive
2016_0206,The bar is very well stocked with interesting beers and well priced wines.,wines,68,73,positive
2016_0207,This is one of my favorite restaurants and it is not to be missed.,[ASPECT],0,0,positive
2016_0208,Your friends will thank you for introducing them to this gem!,[ASPECT],0,0,positive
2016_0209,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",Leon,20,24,negative
2016_0210,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",waitress,4,12,negative
2016_0211,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes.",[ASPECT],0,0,negative
2016_0212,Such a disappointment...,[ASPECT],0,0,negative
2016_0213,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",service,5,12,negative
2016_0213,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",food,23,27,neutral
2016_0213,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",[ASPECT],0,0,negative
2016_0214,I had a grat time at Jekyll and Hyde!,Jekyll and Hyde,21,36,positive
2016_0215,I loved everythig about it-especially the shows and actors.,[ASPECT],0,0,positive
2016_0215,I loved everythig about it-especially the shows and actors.,shows,42,47,positive
2016_0215,I loved everythig about it-especially the shows and actors.,actors,52,58,positive
2016_0216,Our server was very helpful and friendly.,server,4,10,positive
2016_0217,I am bringing my whole family back next time.,[ASPECT],0,0,positive
2016_0218,The food was good too.,food,4,8,positive
2016_0219,The tuna and wasabe potatoes are excellent.,tuna,4,8,positive
2016_0219,The tuna and wasabe potatoes are excellent.,wasabe potatoes,13,28,positive
2016_0220,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,4,22,positive
2016_0221,"Inside is a little cramped, but to be expected.",[ASPECT],0,0,neutral
2016_0222,Service was prompt and courteous.,Service,0,7,positive
2016_0223,This was a repeat visit and we'll definitely be back again.,[ASPECT],0,0,positive
2016_0224,"Great service, great food.",service,6,13,positive
2016_0224,"Great service, great food.",food,21,25,positive
2016_0225,Prices are in line.,[ASPECT],0,0,neutral
2016_0227,But too far east!,[ASPECT],0,0,negative
2016_0229,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,4,9,positive
2016_0229,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,34,50,positive
2016_0230,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",appetizer selection,22,41,negative
2016_0231,"Also, because it is so thin, it gets cold very quickly and its not that filling.",[ASPECT],0,0,negative
2016_0231,"Also, because it is so thin, it gets cold very quickly and its not that filling.",[ASPECT],0,0,negative
2016_0233,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,Wait staff,0,10,negative
2016_0233,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,pie,74,77,positive
2016_0234,By far the best salad I have had in a fast food restaurant.,salad,16,21,positive
2016_0235,fine dining restaurant quality.,dining,5,11,positive
2016_0236,Over 100 different choices to create your own.,[ASPECT],0,0,positive
2016_0237,A must try!,[ASPECT],0,0,positive
2016_0238,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",restaurant,73,83,positive
2016_0239,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",[ASPECT],0,0,positive
2016_0239,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",[ASPECT],0,0,positive
2016_0240,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",chicken pot pie,4,19,positive
2016_0240,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",cheeseburger,39,51,positive
2016_0240,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",cheeseburger,39,51,positive
2016_0240,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",service,81,88,positive
2016_0241,"With so many poor experiences to be had in the theater district, is truly an excellent find!",[ASPECT],0,0,positive
2016_0242,We will return many times for this oasis in mid-town.,[ASPECT],0,0,positive
2016_0244,The staff is no nonsense.,staff,4,9,positive
2016_0245,The food options rule.,food,4,8,positive
2016_0246,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,bagels,56,62,positive
2016_0247,Worth visiting the 1st Ave spot because it is the original store.,1st Ave spot,19,31,positive
