sentence_id,sentence,aspect,from,to,polarity
2015_0103,My quesadilla tasted like it had been made by a three-year old with no sense of proportion or flavor.,quesadilla,3,13,negative
2015_0104,And $11 for a plate of bland guacamole?,guacamole,29,38,negative
2015_0104,And $11 for a plate of bland guacamole?,guacamole,29,38,negative
2015_0105,"Don't get me started on the margaritas, either.",margaritas,28,38,negative
2015_0106,Mine tasted like the bartender had forgotten to add the tequila.,[ASPECT],0,0,negative
2015_0107,Save your money and your time and go somewhere else.,[ASPECT],0,0,negative
2015_0108,"Oh, and I never write reviews--I just was so moved by how bad this place was, I felt it was my duty to spread the word.",place,67,72,negative
2015_0109,Great Indian Food!,Indian Food,6,17,positive
2015_0110,When I got there the place was packed but they made sure to seat me quickly.,[ASPECT],0,0,positive
2015_0111,"The food was good, the place was clean and affordable.",food,4,8,positive
2015_0111,"The food was good, the place was clean and affordable.",place,23,28,positive
2015_0111,"The food was good, the place was clean and affordable.",place,23,28,positive
2015_0112,I noticed alot of indian people eatting there which is a great sign for an indian place!,indian place,75,87,positive
2015_0113,"This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .",[ASPECT],0,0,positive
2015_0113,"This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .",[ASPECT],0,0,positive
2015_0113,"This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .",food,51,55,positive
2015_0113,"This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .",[ASPECT],0,0,positive
2015_0114,The staff is very good.,staff,4,9,positive
2015_0115,Love their drink menu.,drink menu,11,21,positive
2015_0116,I highly recommend this beautiful place.,place,34,39,positive
2015_0116,I highly recommend this beautiful place.,place,34,39,positive
2015_0117,Nice for one time special occasion.,[ASPECT],0,0,positive
2015_0118,They honored reservation on Sunday afternoon very well.,[ASPECT],0,0,positive
2015_0119,We were offered water for the table but were not told the Voss bottles of water were $8 a piece.,Voss bottles of water,58,79,negative
2015_0120,Food was OK.,Food,0,4,neutral
2015_0121,Nice view of river and NYC.,view of river and NYC,5,26,positive
2015_0122,I come here enjoy very much with husband.,[ASPECT],0,0,positive
2015_0123,Remind me of home.,[ASPECT],0,0,positive
2015_0124,Great survice,survice,6,13,positive
2015_0125,MMMMMMMMMmmmmmm so delicious,[ASPECT],0,0,positive
2015_0126,A beautifully designed dreamy Egyptian restaurant that gets sceney at night.,Egyptian restaurant,30,49,positive
2015_0127,Watch the talented belly dancers as you enjoy delicious baba ganoush that's more lemony than smoky.,baba ganoush,56,68,positive
2015_0127,Watch the talented belly dancers as you enjoy delicious baba ganoush that's more lemony than smoky.,belly dancers,19,32,positive
2015_0128,"Oh, and there's hookah.",hookah,16,22,positive
2015_0129,Raymond the bartender rocks!,Raymond,0,7,positive
2015_0130,Pacifico is a great place to casually hang out.,Pacifico,0,8,positive
2015_0131,"The drinks are great, especially when made by Raymond.",drinks,4,10,positive
2015_0131,"The drinks are great, especially when made by Raymond.",Raymond,46,53,positive
2015_0132,The omlette for brunch is great...,omlette for brunch,4,22,positive
2015_0133,"the spinach is fresh, definately not frozen...",spinach,4,11,positive
2015_0134,"quacamole at pacifico is yummy, as are the wings with chimmichuri.",quacamole,0,9,positive
2015_0134,"quacamole at pacifico is yummy, as are the wings with chimmichuri.",wings with chimmichuri,43,65,positive
2015_0135,A weakness is the chicken in the salads.,chicken in the salads,18,39,negative
2015_0136,"It's just average, just shredded, no seasoning on it.",[ASPECT],0,0,negative
2015_0137,"Also, I personally wasn't a fan of the portobello and asparagus mole.",portobello and asparagus mole,39,68,negative
2015_0138,"Overall, decent food at a good price, with friendly people.",food,16,20,neutral
2015_0138,"Overall, decent food at a good price, with friendly people.",food,16,20,positive
2015_0138,"Overall, decent food at a good price, with friendly people.",people,52,58,positive
2015_0139,Best Indian Restaurant in the City,Indian Restaurant,5,22,positive
2015_0140,Decor needs to be upgraded but the food is amazing!,Decor,0,5,negative
2015_0140,Decor needs to be upgraded but the food is amazing!,food,35,39,positive
2015_0141,This small Astoria souvlaki spot makes what many consider the best gyros in New York.,gyros,67,72,positive
2015_0142,"What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality ingredients that might otherwise be expected.",food,34,38,positive
2015_0142,"What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality ingredients that might otherwise be expected.",gyro meat,125,134,positive
2015_0142,"What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality ingredients that might otherwise be expected.",sausages,139,147,positive
2015_0142,"What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality ingredients that might otherwise be expected.",ingredients,182,193,positive
2015_0143,"All the various Greek and Cypriot dishes are excellent, but the gyro is the reason to come--if you don't eat one your trip was wasted.",Greek and Cypriot dishes,16,40,positive
2015_0143,"All the various Greek and Cypriot dishes are excellent, but the gyro is the reason to come--if you don't eat one your trip was wasted.",gyro,64,68,positive
2015_0144,Best restaurant in Brooklyn,restaurant,5,15,positive
2015_0145,The best!,[ASPECT],0,0,positive
2015_0146,"Great food, amazing service, this place is a class act.",food,6,10,positive
2015_0146,"Great food, amazing service, this place is a class act.",service,20,27,positive
2015_0146,"Great food, amazing service, this place is a class act.",place,34,39,positive
2015_0147,The veal was incredible last night.,veal,4,8,positive
2015_0148,"Fresh, mind blowing flavors.",[ASPECT],0,0,positive
2015_0149,This place is a must visit!,place,5,10,positive
2015_0150,"Delicious, creative and fun.",[ASPECT],0,0,positive
2015_0150,"Delicious, creative and fun.",[ASPECT],0,0,positive
2015_0151,Got a date? Go here!,[ASPECT],0,0,positive
2015_0152,Every time I have a special occasion with my boyfriend I have a hard time going anywhere else.,[ASPECT],0,0,positive
2015_0153,It is so romantic.,[ASPECT],0,0,positive
2015_0154,"Its dark, and cozy.. there is always jazz music playing when we go.",[ASPECT],0,0,positive
2015_0155,Most of the booths allow you to sit next to eachother without looking like 'that' couple.,booths,12,18,positive
2015_0156,The food is all shared so we get to order together and eat together.,food,4,8,positive
2015_0157,I've enjoyed 99% of the dishes we've ordered with the only exceptions being the occasional too-authentic-for-me dish (I'm a daring eater but not THAT daring).,dishes,24,30,positive
2015_0157,I've enjoyed 99% of the dishes we've ordered with the only exceptions being the occasional too-authentic-for-me dish (I'm a daring eater but not THAT daring).,dish,24,28,negative
2015_0158,Once you try it for a special occasion beware.. you can't stop!,[ASPECT],0,0,positive
2015_0159,"You'll be ther for every anniversary, birthday, valentines day...",[ASPECT],0,0,positive
2015_0160,For a Fabulous Wedding!,[ASPECT],0,0,positive
2015_0161,My daughter's wedding reception at Water's Edge received the highest compliments from our guests.,Water's Edge,35,47,positive
2015_0162,Everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous food!,atmosphere,25,35,positive
2015_0162,Everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous food!,rooms,45,50,positive
2015_0162,Everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous food!,views,79,84,positive
2015_0162,Everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous food!,food,103,107,positive
2015_0163,Service was wonderful;,Service,0,7,positive
2015_0164,everyone was cheerfully cooperative and helpful.,[ASPECT],0,0,positive
2015_0165,"Paul, the maitre d', was totally professional and always on top of things.",Paul,0,4,positive
2015_0166,Thank you everyone at Water's Edge.,Water's Edge,22,34,positive
2015_0167,would NOT go back.,[ASPECT],0,0,negative
2015_0168,"Service ok but unfriendly,filthy bathroom.",Service,0,7,negative
2015_0168,"Service ok but unfriendly,filthy bathroom.",bathroom,33,41,negative
2015_0169,The high prices you're going to pay is for the view not for the food.,view,47,51,neutral
2015_0169,The high prices you're going to pay is for the view not for the food.,food,64,68,negative
2015_0169,The high prices you're going to pay is for the view not for the food.,[ASPECT],0,0,negative
2015_0170,"The bar drinks were Eh, ok to say the least.",bar drinks,4,14,negative
2015_0171,The stuff tilapia was horrid...tasted like cardboard.,stuff tilapia,4,17,negative
2015_0172,"We thought the dessert would be better, Wrong!",dessert,15,22,negative
2015_0173,$170 down the toilet...,[ASPECT],0,0,negative
2015_0173,$170 down the toilet...,[ASPECT],0,0,negative
2015_0174,"oh speaking of bathroom , the mens bathroom was disgusting.",mens bathroom,30,43,negative
2015_0175,"The floor was wet, the trash can filled with hand towels n all over the floor, no soap, and no hand towels left.",[ASPECT],0,0,negative
2015_0176,Good Experience,[ASPECT],0,0,positive
2015_0177,The wine list was extensive - though the staff did not seem knowledgeable about wine pairings.,wine list,4,13,positive
2015_0177,The wine list was extensive - though the staff did not seem knowledgeable about wine pairings.,staff,41,46,negative
2015_0178,"The bread we received was horrible - rock hard and cold - and the ""free"" appetizer of olives was disappointing.",bread,4,9,negative
2015_0178,"The bread we received was horrible - rock hard and cold - and the ""free"" appetizer of olives was disappointing.",appetizer of olives,73,92,negative
2015_0178,"The bread we received was horrible - rock hard and cold - and the ""free"" appetizer of olives was disappointing.",appetizer of olives,73,92,neutral
2015_0179,"However, our main course was wonderful.",main course,13,24,positive
2015_0180,I had fish and my husband had the filet - both of which exceeded our expectations.,fish,6,10,positive
2015_0180,I had fish and my husband had the filet - both of which exceeded our expectations.,filet,34,39,positive
2015_0181,"The dessert (we had a pear torte) was good - but, once again, the staff was unable to provide appropriate drink suggestions.",pear torte,22,32,positive
2015_0181,"The dessert (we had a pear torte) was good - but, once again, the staff was unable to provide appropriate drink suggestions.",staff,66,71,negative
2015_0182,When we inquired about ports - the waitress listed off several but did not know taste variations or cost.,waitress,35,43,negative
2015_0183,Not what I would expect for the price and prestige of this location.,[ASPECT],0,0,negative
2015_0183,Not what I would expect for the price and prestige of this location.,location,59,67,neutral
2015_0183,Not what I would expect for the price and prestige of this location.,location,59,67,neutral
2015_0184,"All in all, I would return - as it was a beautiful restaurant - but I hope the staff pays more attention to the little details in the future.",restaurant,51,61,positive
2015_0184,"All in all, I would return - as it was a beautiful restaurant - but I hope the staff pays more attention to the little details in the future.",restaurant,51,61,positive
2015_0184,"All in all, I would return - as it was a beautiful restaurant - but I hope the staff pays more attention to the little details in the future.",staff,79,84,negative
2015_0185,"short and sweet – seating is great:it's romantic,cozy and private.",seating,18,25,positive
2015_0186,The boths are not as small as some of the reviews make them out to look they're perfect for 2 people.,boths,4,9,positive
2015_0187,The service was extremely fast and attentive(thanks to the service button on your table) but I barely understood 1 word when the waiter took our order.,service,4,11,positive
2015_0187,The service was extremely fast and attentive(thanks to the service button on your table) but I barely understood 1 word when the waiter took our order.,service button,59,73,positive
2015_0187,The service was extremely fast and attentive(thanks to the service button on your table) but I barely understood 1 word when the waiter took our order.,waiter,129,135,negative
2015_0188,The food was ok and fair nothing to go crazy.,food,4,8,neutral
2015_0189,Over all the looks of the place exceeds the actual meals.,looks,13,18,positive
2015_0189,Over all the looks of the place exceeds the actual meals.,meals,51,56,negative
2015_0190,So what you really end up paying for is the restaurant not the food.,restaurant,44,54,negative
2015_0190,So what you really end up paying for is the restaurant not the food.,restaurant,44,54,neutral
2015_0190,So what you really end up paying for is the restaurant not the food.,food,63,67,negative
2015_0191,Will prob. not return but it is a great dinning experience to try atleast once.,[ASPECT],0,0,negative
2015_0191,Will prob. not return but it is a great dinning experience to try atleast once.,[ASPECT],0,0,positive
2015_0192,Impressed...,[ASPECT],0,0,positive
2015_0193,Subtle food and service,food,7,11,positive
2015_0193,Subtle food and service,service,16,23,positive
2015_0194,Noodle pudding is exactly the type of service and food I enjoy.,service,38,45,positive
2015_0194,Noodle pudding is exactly the type of service and food I enjoy.,food,50,54,positive
2015_0195,"Servers are all different, Greg is my favorite.",Greg,27,31,positive
2015_0196,"Sometimes tables don't understand his sense of humor but it's refreshing to have a server who has personality, professionalism, and respects the privacy of your dinner.",server,83,89,positive
2015_0197,This is the first place I've been that a runner remembers my order... hope he likes his job because I have half a mind to steal him for my restaurant.,runner,41,47,positive
2015_0198,Prices are fair across the board for both food and bev.,food,42,46,positive
2015_0198,Prices are fair across the board for both food and bev.,bev,51,54,positive
2015_0199,"I go out to eat and like my courses, servers are patient and never rush courses or force another drink.",servers,37,44,positive
2015_0200,amazing fresh dogs but best of all endless toppings!!!,dogs,14,18,positive
2015_0200,amazing fresh dogs but best of all endless toppings!!!,toppings,43,51,positive
2015_0201,this place had ALL the trimmings and i mean all.,trimmings,23,32,positive
2015_0202,"peppers, onions, relish, chilli, cheeses, you NAME it.",[ASPECT],0,0,positive
2015_0203,amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out!!!!,place,85,90,positive
2015_0203,amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out!!!!,hot dog,16,23,positive
2015_0204,BEST DINING EXPERIENCE IN THE WEST VILLAGE!,[ASPECT],0,0,positive
2015_0205,Stepping into Casa La Femme last night was a true experience unlike any other in New York!,Casa La Femme,14,27,positive
2015_0206,Highly impressed from the decor to the food to the hospitality to the great night I had!,decor,26,31,positive
2015_0206,Highly impressed from the decor to the food to the hospitality to the great night I had!,food,39,43,positive
2015_0206,Highly impressed from the decor to the food to the hospitality to the great night I had!,[ASPECT],0,0,positive
2015_0206,Highly impressed from the decor to the food to the hospitality to the great night I had!,[ASPECT],0,0,positive
2015_0207,The have a great cocktail with Citrus Vodka and lemon and lime juice and mint leaves that is to die for!,cocktail with Citrus Vodka and lemon and lime juice and mint leaves,17,84,positive
2015_0208,"Food took some time to prepare, all worth waiting for.",Food,0,4,positive
2015_0208,"Food took some time to prepare, all worth waiting for.",[ASPECT],0,0,neutral
2015_0209,We were drawn into the belly dancing show that captivated the crowd.,belly dancing show,23,41,positive
2015_0210,I never write on these sites but this restaurant is def worth commending!,restaurant,38,48,positive
2015_0211,Great find in the West Village!,[ASPECT],0,0,positive
2015_0212,Maggot in the food!,food,14,18,negative
2015_0213,"The menu looked great, and the waiter was very nice, but when the food came, it was average.",menu,4,8,positive
2015_0213,"The menu looked great, and the waiter was very nice, but when the food came, it was average.",waiter,31,37,positive
2015_0213,"The menu looked great, and the waiter was very nice, but when the food came, it was average.",food,66,70,neutral
2015_0214,"Nevertheless, I finished my plate, and that's when I found a maggot in mushroom sauce at the bottom.",mushroom sauce,71,85,negative
2015_0215,"I showed it to the manager, and he smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for).",manager,19,26,positive
2015_0215,"I showed it to the manager, and he smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for).",manager,19,26,negative
2015_0216,"When the bill came, nothing was comped, so I told the manager very politely that we were willing to pay for the wine, but I didn't think I should have to pay for food with a maggot in it.",[ASPECT],0,0,negative
2015_0217,"The manager finally said he would comp the two glasses of wine (which cost less than the food), and made it seem like a big concession.",manager,4,11,negative
2015_0218,We paid and left because we didn't feel like arguing any more.,[ASPECT],0,0,negative
2015_0219,"I have worked in restaurants and cook a lot, and there is no way a maggot should be able to get into well prepared food.",food,115,119,negative
2015_0220,"For a restaurant with such a good reputation and that is usually so packed, there was no reason for such a lack of intelligent customer service.",restaurant,6,16,positive
2015_0220,"For a restaurant with such a good reputation and that is usually so packed, there was no reason for such a lack of intelligent customer service.",customer service,127,143,negative
2015_0221,Unhygienic,[ASPECT],0,0,negative
2015_0222,I do not recommend.,[ASPECT],0,0,negative
2015_0223,I got hair in my food 2 times of then !,food,17,21,negative
2015_0224,"Great place, great value.",place,6,11,positive
2015_0224,"Great place, great value.",place,6,11,positive
2015_0225,"The food is flavorful, plentiful and reasonably priced.",food,4,8,positive
2015_0225,"The food is flavorful, plentiful and reasonably priced.",food,4,8,positive
2015_0225,"The food is flavorful, plentiful and reasonably priced.",food,4,8,positive
2015_0226,The atmosphere is relaxed and casual.,atmosphere,4,14,positive
2015_0227,It's a great place to order from or sit-in.,place,13,18,positive
2015_0228,Awesome,[ASPECT],0,0,positive
2015_0229,"Inexpensive, unassuming, great time!",[ASPECT],0,0,positive
2015_0229,"Inexpensive, unassuming, great time!",[ASPECT],0,0,positive
2015_0229,"Inexpensive, unassuming, great time!",[ASPECT],0,0,positive
2015_0230,Sushi experience was unbelievable with my fiance.,Sushi,0,5,positive
2015_0231,Try it!,[ASPECT],0,0,positive
